recency,history,mens,womens,newbie,visit,conversion,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,history_segment_1) $0 - $100,history_segment_2) $100 - $200,history_segment_3) $200 - $350,history_segment_4) $350 - $500,history_segment_5) $500 - $750,"history_segment_6) $750 - $1,000","history_segment_7) $1,000 +",treatment,spend
1,668.86,0,1,1,1,0,,,,,,,,,,,,,,1,0.0
2,294.94,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
6,65.48,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
2,280.45,1,0,0,1,0,,,,,,,,,,,,,,1,0.0
9,301.26,1,1,0,1,0,,,,,,,,,,,,,,0,0.0
1,383.28,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
9,301.15,1,1,0,1,0,,,,,,,,,,,,,,1,0.0
12,104.12,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
7,292.08,0,1,0,1,0,,,,,,,,,,,,,,1,0.0
3,700.3,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
6,66.72,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
7,46.72,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,610.64,1,1,1,0,0,,,,,,,,,,,,,,1,0.0
12,150.24,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
9,261.76,1,1,0,0,0,,,,,,,,,,,,,,1,0.0
9,203.29,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
1,478.99,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
1,29.99,1,0,0,1,0,,,,,,,,,,,,,,0,0.0
1,832.28,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
3,1199.84,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
1,1094.28,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
1,420.38,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
6,613.81,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
3,792.47,1,1,1,0,0,,,,,,,,,,,,,,1,0.0
10,85.34,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
4,70.14,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
4,527.91,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
8,87.34,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
5,29.99,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
4,37.68,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
1,424.08,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
6,162.58,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
10,54.58,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
5,210.92,1,1,1,1,0,,,,,,,,,,,,,,0,0.0
11,29.99,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
6,538.47,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
3,168.51,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
12,139.18,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
10,370.35,0,1,0,1,0,,,,,,,,,,,,,,0,0.0
9,265.12,1,1,0,0,0,,,,,,,,,,,,,,0,0.0
10,143.88,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,669.66,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
6,178.07,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
2,266.03,0,1,0,1,0,,,,,,,,,,,,,,1,0.0
5,451.58,1,1,1,0,0,,,,,,,,,,,,,,1,0.0
11,29.99,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
1,135.03,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
4,479.33,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
3,30.59,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
9,291.59,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
5,29.99,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,822.58,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
3,29.99,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
12,185.54,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
10,47.04,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
8,210.06,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
10,591.39,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
6,112.31,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
3,569.96,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
9,96.57,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
9,29.99,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
3,963.27,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
9,203.68,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
1,254.69,1,1,0,0,0,,,,,,,,,,,,,,0,0.0
6,153.53,0,1,1,1,0,,,,,,,,,,,,,,1,0.0
2,233.67,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
10,29.99,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
5,147.61,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
3,176.22,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
9,73.25,0,1,1,1,0,,,,,,,,,,,,,,1,0.0
5,37.79,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
7,434.17,1,1,0,0,0,,,,,,,,,,,,,,0,0.0
1,483.09,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
5,60.22,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
9,61.61,0,1,1,1,0,,,,,,,,,,,,,,0,0.0
2,392.0,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
2,308.91,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
5,44.42,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
4,151.63,1,0,1,1,0,,,,,,,,,,,,,,0,0.0
4,29.99,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
1,353.45,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
3,75.15,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
10,321.09,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
4,138.13,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
1,364.95,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
2,377.26,1,1,0,1,0,,,,,,,,,,,,,,1,0.0
8,29.99,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
3,643.44,1,1,1,0,0,,,,,,,,,,,,,,1,0.0
1,331.11,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
12,29.99,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
2,191.63,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
6,208.64,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
3,747.09,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
2,29.99,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
9,216.12,0,1,0,1,0,,,,,,,,,,,,,,1,0.0
4,67.81,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
4,103.34,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
11,365.87,1,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,108.84,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,481.21,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
10,52.06,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
9,29.99,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
10,94.31,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
2,48.78,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
10,29.99,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
7,79.81,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
9,238.99,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
2,205.39,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
9,29.99,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
10,53.42,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
10,80.6,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
6,29.99,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
2,158.49,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,1127.14,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
9,665.04,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
4,123.44,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
2,261.12,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
2,285.3,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,265.35,1,0,0,1,0,,,,,,,,,,,,,,1,0.0
2,776.64,1,1,1,0,0,,,,,,,,,,,,,,1,0.0
9,182.83,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
5,29.99,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
4,94.54,0,1,1,1,0,,,,,,,,,,,,,,1,0.0
4,162.64,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
3,501.37,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
11,426.75,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
3,83.49,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
4,144.47,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
1,632.61,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,751.25,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
2,70.78,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
2,83.82,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
11,391.94,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
12,91.89,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
3,441.84,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
2,136.94,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
3,358.98,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,320.26,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
1,202.57,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,29.99,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
11,522.46,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
6,49.84,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
6,1129.7,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
10,29.99,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
1,233.04,1,1,0,1,0,,,,,,,,,,,,,,1,0.0
9,718.64,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
1,367.17,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
1,866.05,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
12,29.99,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
5,190.73,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
8,50.47,1,0,1,1,1,,,,,,,,,,,,,,1,66.31
4,505.76,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,106.75,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
9,178.17,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
5,276.02,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
3,439.33,1,1,0,0,0,,,,,,,,,,,,,,1,0.0
2,943.13,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
8,307.83,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
6,130.37,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
9,486.57,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
1,1294.3,1,1,1,0,0,,,,,,,,,,,,,,1,0.0
8,56.17,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
5,495.82,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
12,123.04,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
5,164.2,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,357.01,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
3,496.92,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
7,224.28,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
6,72.12,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
7,31.54,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
9,119.02,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
9,540.36,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
1,601.18,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
2,29.99,1,0,1,1,0,,,,,,,,,,,,,,1,0.0
10,29.99,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
2,44.91,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
4,29.99,0,1,0,1,0,,,,,,,,,,,,,,1,0.0
3,188.52,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
4,344.54,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
12,29.99,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
9,139.93,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
8,29.99,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
10,29.99,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
7,303.46,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
9,362.32,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
8,29.99,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
1,434.32,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,29.99,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
6,207.93,1,0,0,1,0,,,,,,,,,,,,,,1,0.0
4,176.86,0,1,0,1,0,,,,,,,,,,,,,,1,0.0
10,66.75,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
1,513.52,1,0,1,1,0,,,,,,,,,,,,,,1,0.0
9,262.88,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
3,836.83,1,0,1,1,0,,,,,,,,,,,,,,0,0.0
10,190.32,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
10,339.77,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,378.63,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
11,29.99,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
2,601.16,1,1,1,1,1,,,,,,,,,,,,,,1,89.71
3,195.55,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
10,177.88,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,183.62,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
10,148.79,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,220.34,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
4,43.66,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
9,89.48,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
9,632.44,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
1,176.36,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,225.75,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
6,626.63,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
7,36.38,0,1,0,1,0,,,,,,,,,,,,,,1,0.0
6,189.73,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
9,212.67,1,1,0,0,0,,,,,,,,,,,,,,1,0.0
3,263.44,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
10,96.21,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
1,29.99,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
2,1245.21,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
10,121.92,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
1,142.0,1,0,1,1,0,,,,,,,,,,,,,,1,0.0
1,991.0,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
2,184.37,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
9,29.99,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
6,107.44,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
5,29.99,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
9,725.88,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
3,63.77,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
4,510.0,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
8,120.81,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
12,60.42,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
11,252.97,1,0,0,1,0,,,,,,,,,,,,,,1,0.0
1,301.46,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
6,80.85,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
4,664.55,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,570.97,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
5,65.39,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
9,29.99,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
5,169.18,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
10,92.03,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
6,515.12,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
7,106.24,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
5,81.1,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
2,109.09,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
1,140.36,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,232.71,1,1,0,0,0,,,,,,,,,,,,,,1,0.0
8,39.22,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
3,41.48,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
8,349.77,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
7,290.51,0,1,1,1,0,,,,,,,,,,,,,,0,0.0
4,46.37,1,0,0,1,0,,,,,,,,,,,,,,1,0.0
6,219.1,1,1,0,0,0,,,,,,,,,,,,,,0,0.0
7,29.99,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
3,146.59,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
9,139.3,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
3,218.14,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
1,114.67,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
2,1006.43,0,1,1,1,0,,,,,,,,,,,,,,1,0.0
1,112.29,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
9,36.72,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
9,823.08,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,380.51,1,1,0,0,0,,,,,,,,,,,,,,0,0.0
1,147.78,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
